City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date,Country
Lebu,-37.62,-73.65,53.69,69,9,0.07,1603111974,CL
Faanui,-16.48,-151.75,79.45,81,0,13.38,1603111974,PF
Hīt,33.64,42.83,92.53,11,0,4.99,1603111974,IQ
Pisco,-13.7,-76.22,61,90,0,3,1603111975,PE
Torbay,47.67,-52.73,53.01,94,100,4.94,1603111928,CA
Harindānga,22.04,88.32,83.89,71,48,2.3,1603111975,IN
Codrington,-38.27,141.97,45.63,83,22,1.81,1603112035,AU
Toora-Khem,52.47,96.11,24.96,90,100,4.92,1603112036,RU
Escanaba,45.75,-87.06,28.99,83,0,2.98,1603112006,US
Tuktoyaktuk,69.45,-133.04,18.16,94,98,4.18,1603112036,CA
Qaanaaq,77.48,-69.36,26.24,81,4,10.29,1603112036,GL
Kazachinskoye,57.7,93.28,29.52,92,87,9.26,1603112037,RU
Chui,-33.7,-53.46,73.6,66,100,5.53,1603112037,UY
Atbasar,51.8,68.33,49.89,51,0,10.13,1603112037,KZ
Polessk,54.86,21.1,48.99,63,97,1.01,1603112037,RU
Butaritari,3.07,172.79,81.93,73,100,12.73,1603112037,KI
Assiut,27.18,31.18,101.35,10,0,3.87,1603112038,EG
Tasiilaq,65.61,-37.64,29.35,97,58,3.06,1603112038,GL
Yangi Marg`ilon,40.43,71.72,66.42,24,0,4.21,1603112038,UZ
Kavaratti,10.57,72.64,81.43,74,91,11.05,1603112038,IN
Barrow,71.29,-156.79,21.7,96,100,5.48,1603111957,US
George Town,5.41,100.34,82.15,75,100,3.96,1603112039,MY
Port Alfred,-33.59,26.89,71.71,70,100,18.19,1603112039,ZA
Mount Gambier,-37.83,140.77,42.64,90,13,0.72,1603112039,AU
Longyearbyen,78.22,15.64,21.49,90,65,3.62,1603112039,SJ
Maniitsoq,65.42,-52.9,38.52,84,100,26.11,1603112040,GL
Fortuna,40.6,-124.16,55,96,45,5.12,1603112040,US
Lata,40.16,-8.33,75,48,100,17.4,1603112040,PT
Havre-St-Pierre,50.23,-63.6,42.62,70,100,11.01,1603112040,CA
Pauini,-7.71,-66.98,81.25,75,100,3.78,1603112041,BR
Leningradskiy,69.38,178.42,26.64,88,100,8.25,1603112041,RU
Puerto del Rosario,28.5,-13.86,73.92,64,35,5.53,1603112041,ES
Tura,25.52,90.22,74.25,93,0,1.88,1603112041,IN
Kapaa,22.08,-159.32,73,59,5,9.33,1603112042,US
Severo-Kuril'sk,50.68,156.12,44.01,80,99,8.5,1603112042,RU
Albany,42.6,-73.97,51.01,83,44,4.47,1603111834,US
Bredasdorp,-34.53,20.04,63,73,70,5.99,1603112042,ZA
Provideniya,64.38,-173.3,32.54,83,0,5.44,1603112042,RU
Saskylakh,71.92,114.08,18.93,97,85,5.01,1603112043,RU
Port Hedland,-20.32,118.57,74.16,79,0,16.28,1603112043,AU
Port Elizabeth,-33.92,25.57,75,61,53,5.99,1603112043,ZA
Shirvan,39.95,48.9,79.09,41,0,11.3,1603112043,AZ
Laas,46.62,10.7,57.99,47,96,2.8,1603111960,IT
Bathsheba,13.22,-59.52,83.35,70,80,5.64,1603112044,BB
East London,-33.02,27.91,70.93,71,78,17.96,1603112044,ZA
Ribeira Grande,38.52,-28.7,63.91,69,100,29.82,1603112044,PT
Inhambane,-23.86,35.38,78.8,55,0,11.83,1603112045,MZ
Reconquista,-29.15,-59.65,86.68,53,0,12.46,1603112045,AR
Iqaluit,63.75,-68.51,33.01,74,2,4,1603112045,CA
Madimba,-10.4,40.33,82.54,64,34,9.35,1603112045,TZ
Castro,-24.79,-50.01,72.23,66,2,8.23,1603112105,BR
Sherpur,25.02,90.02,81.1,75,0,2.46,1603112106,BD
Mangai,-4.05,19.53,91.51,46,74,3.13,1603112106,CD
Carnarvon,-24.87,113.63,67.44,81,51,18.01,1603112106,AU
Hirara,24.8,125.28,79.3,83,22,27.31,1603112106,JP
Portland,45.52,-122.68,55,91,85,2.51,1603111680,US
Hermanus,-34.42,19.23,63,73,72,5.99,1603112107,ZA
Cidreira,-30.18,-50.21,72.39,65,0,11.97,1603112107,BR
Kualakapuas,-3.01,114.39,75.56,93,100,1.88,1603112107,ID
Busselton,-33.65,115.33,64.99,51,1,15.84,1603112021,AU
Drovyanaya,51.58,113.03,35.4,85,100,1.43,1603112108,RU
Aquiraz,-3.9,-38.39,82.99,62,100,20,1603112108,BR
Port Moresby,-9.44,147.18,76.5,92,23,7.23,1603112074,PG
Pacifica,37.61,-122.49,57.99,91,0,4.16,1603112108,US
Katsuura,35.13,140.3,57,93,100,11.59,1603112109,JP
Palmer,42.16,-72.33,46,92,96,1.88,1603112109,US
Praia,14.92,-23.51,83.62,68,100,10.76,1603111979,CV
Lahat,-3.8,103.53,75.34,88,98,2.44,1603112109,ID
Alofi,-19.06,-169.92,73.96,81,100,15.1,1603112110,NU
Bucerías,20.75,-105.33,79,87,85,2.21,1603111923,MX
Amambai,-23.1,-55.23,82.42,58,0,10.8,1603112110,BR
Vila Velha,-20.33,-40.29,77,75,100,7.58,1603112110,BR
Belokurikha,52.0,84.99,35.47,80,100,1.86,1603112111,RU
Seoul,37.57,126.98,61.61,62,0,2.1,1603111815,KR
Henties Bay,-22.12,14.28,62.01,85,0,5.01,1603112111,NA
Vardø,70.37,31.11,41.29,72,100,14.9,1603112111,NO
Bagdarin,54.43,113.6,34.72,87,100,0.76,1603112111,RU
Gorodovikovsk,46.09,41.93,60.94,91,100,3.83,1603112112,RU
Zhengjiatun,43.51,123.51,52.02,44,0,8.03,1603112112,CN
Nantucket,41.28,-70.1,55,87,100,5.01,1603111930,US
Tomatlán,19.93,-105.25,73.51,86,4,2.71,1603112112,MX
Turukhansk,65.82,87.98,14.52,97,100,5.86,1603112112,RU
Kahului,20.89,-156.47,72,86,100,1.99,1603112112,US
Saldanha,-33.01,17.94,61.57,67,83,13.76,1603112113,ZA
Sakaiminato,35.55,133.23,62.92,52,96,2.8,1603112113,JP
Tangping,22.03,111.93,70.27,77,74,5.68,1603112113,CN
Yelat'ma,54.97,41.75,44.1,74,8,9.19,1603112113,RU
Moyale,3.52,39.06,81,43,22,6.67,1603112114,KE
Saint Paul Harbor,57.79,-152.41,40.19,72,0,5.79,1603112114,US
Bhānpurī,21.1,80.92,79.3,76,0,5.08,1603112114,IN
Pevek,69.7,170.31,25.68,94,100,14.16,1603112114,RU
Kruisfontein,-34.0,24.73,75,61,100,5.99,1603112115,ZA
Cherskiy,68.75,161.3,20.35,96,76,6.06,1603112115,RU
Dingle,11.0,122.67,77,89,100,3.56,1603112175,PH
San Cristobal,7.77,-72.22,75.02,56,100,0.89,1603112175,VE
Blenheim,-41.52,173.95,54,81,100,1.01,1603112175,NZ
Port-Gentil,-0.72,8.78,78.44,86,40,16.15,1603112176,GA
Cape Town,-33.93,18.42,66.99,60,83,7,1603111966,ZA
Lavrentiya,65.58,-171,32.31,93,0,2.82,1603112176,RU
Puerto Ayora,-0.74,-90.35,68,97,100,7,1603112176,EC
Khonsa,27.02,95.57,66.85,96,70,4.41,1603112176,IN
Mar del Plata,-38.0,-57.56,61.95,90,100,14.47,1603112177,AR
Necochea,-38.55,-58.74,63,74,1,7,1603112177,AR
Asău,46.43,26.4,51.87,47,6,7.09,1603112177,RO
São João da Barra,-21.64,-41.05,73.89,75,100,14.47,1603112177,BR
Kaura Namoda,12.59,6.58,97.07,22,0,1.39,1603112177,NG
Kilimatinde,-5.85,34.95,91.24,22,56,7.2,1603112177,TZ
Upernavik,72.79,-56.15,36.75,85,100,8.75,1603112178,GL
Tiassalé,5.9,-4.83,83.73,80,93,3.2,1603112178,CI
Lerwick,60.15,-1.15,46.4,89,100,27.16,1603112178,GB
Bethel,41.37,-73.41,51.01,97,93,3.69,1603112179,US
Nador,35.17,-2.93,73.94,56,42,10.71,1603112179,MA
Cockburn Town,21.46,-71.14,82.15,74,100,12.57,1603112180,TC
Chokurdakh,70.63,147.92,17.26,98,99,6.8,1603112180,RU
Homer,59.64,-151.55,39.99,81,41,10,1603112180,US
Urusha,54.05,122.9,25.38,98,100,2.44,1603112180,RU
Buala,-8.14,159.59,80.87,79,0,5.1,1603112181,SB
Jalu,29.03,21.55,94.86,17,100,10.85,1603112181,LY
Arraial do Cabo,-22.97,-42.03,72.73,77,83,21.97,1603112181,BR
Thunder Bay,48.4,-89.32,23,86,0,6.11,1603112076,CA
Hualmay,-11.1,-77.61,64.56,75,17,8.55,1603112181,PE
Port Hardy,50.7,-127.42,50.77,85,73,6.98,1603112182,CA
San Patricio,28.02,-97.52,78.01,97,0,5.53,1603112182,US
Poum,-20.23,164.02,74.91,64,0,9.95,1603112182,NC
Wexford,52.33,-6.46,55,92,100,10,1603112182,IE
Kaeo,-35.1,173.78,53.01,92,5,4,1603112183,NZ
Westport,41.14,-73.36,53.01,89,99,6.67,1603112076,US
Bambous Virieux,-20.34,57.76,79,61,0,8.99,1603112183,MU
Amga,60.9,131.96,9.81,94,0,1.63,1603112183,RU
Ukiah,39.15,-123.21,60.01,66,0,1.99,1603112175,US
Caravelas,-17.71,-39.25,78.58,62,100,6.6,1603112184,BR
Hong Kong,22.29,114.16,78.01,66,0,12.59,1603112053,HK
Hofn,64.25,-15.21,42.06,66,100,11.95,1603112184,IS
Biltine,14.53,20.92,99.72,9,33,10.76,1603112185,TD
Nikki,9.94,3.21,93.81,45,0,1.74,1603112185,BJ
Yagodnoye,62.55,149.67,13.66,81,100,5.35,1603112245,RU
Nishihara,26.18,127.76,76.57,86,44,18.41,1603112245,JP
Nikolskoye,59.7,30.79,39,87,100,1.01,1603112245,RU
Mahébourg,-20.41,57.7,79,61,0,8.99,1603112246,MU
Guerrero Negro,27.98,-114.06,68.34,86,0,6.4,1603112246,MX
Samarai,-10.62,150.67,79.43,88,51,7.49,1603112246,PG
Khatanga,71.97,102.5,10.22,94,60,6.17,1603112246,RU
Ambilobe,-13.2,49.05,85.41,48,1,6.64,1603112246,MG
Khovd,48.01,91.64,29.39,77,0,10.22,1603112247,MN
Jiuquan,39.74,98.52,52.63,37,99,14.23,1603112247,CN
Ponta Delgada,37.73,-25.67,64.06,69,100,22.01,1603112247,PT
Dikson,73.51,80.55,24.21,96,87,20.51,1603112247,RU
Petropavlovsk-Kamchatskiy,53.05,158.65,42.64,80,89,9.24,1603112247,RU
Manbij,36.53,37.95,87.01,20,0,11.74,1603112248,SY
Gualeguay,-33.14,-59.31,83.64,54,0,9.64,1603112248,AR
Hilo,19.73,-155.09,70,93,100,3,1603112248,US
Nha Trang,12.25,109.18,78.73,81,47,0.49,1603112233,VN
Mt. Pleasant,32.79,-79.86,66,75,52,10.89,1603112076,US
Puqi,29.72,113.88,58.95,74,10,2.53,1603112036,CN
Kuril'sk,45.23,147.88,48.38,66,9,10.11,1603112249,RU
Klaksvík,62.23,-6.59,45.54,73,99,29.46,1603112249,FO
Alta Floresta,-9.88,-56.09,79.38,75,100,1.36,1603112228,BR
Souillac,-20.52,57.52,79,61,0,8.99,1603112250,MU
Tunceli,39.11,39.55,75.83,19,0,8.25,1603112111,TR
Egvekinot,66.32,-179.17,24.49,89,100,2.06,1603112250,RU
Kefamenanu,-9.45,124.48,73.02,80,35,1.72,1603112250,ID
Hohhot,40.81,111.65,48.27,44,8,4.18,1603112251,CN
Coahuayana Viejo,18.73,-103.68,75.31,83,74,4.47,1603112251,MX
Cabras,39.93,8.53,66.15,50,100,6.58,1603112251,IT
Zárate,-34.1,-59.03,77,74,40,1.99,1603112251,AR
Half Moon Bay,37.46,-122.43,59,78,0,1.01,1603112252,US
Tual,-5.67,132.75,80.49,80,0,12.88,1603112252,ID
Fomboni,-12.28,43.74,80.44,63,8,2.93,1603112252,KM
Raja,8.46,25.68,85.05,60,36,4.72,1603112252,SS
Lac du Bonnet,50.25,-96.06,25,98,0,5.99,1603112252,CA
Birr,53.09,-7.91,53.01,95,100,15.99,1603112253,IE
Sur,22.57,59.53,83.01,43,0,16.91,1603112253,OM
Totness,5.88,-56.32,86.45,62,28,9.62,1603112253,SR
Gushikawa,26.35,127.87,77.36,84,55,20.33,1603112253,JP
Fairbanks,64.84,-147.72,17.01,81,100,1.1,1603111966,US
Aksu,41.12,80.26,56.37,34,0,2.55,1603112254,CN
Lüderitz,-26.65,15.16,70.12,50,0,29.08,1603112254,NA
Leh,34.17,77.58,43.48,35,0,6.67,1603112254,IN
Bāndarban,22.2,92.23,77.95,91,53,0.76,1603112255,BD
San Juan,-31.54,-68.54,75.87,22,0,19.95,1603112248,AR
Yulara,-25.24,130.99,71.96,71,53,16.71,1603112255,AU
Bāfq,31.61,55.41,74.19,13,0,6.6,1603112315,IR
Lake Charles,30.21,-93.2,73,94,55,1.01,1603112315,US
Tabas,33.6,56.92,75.22,14,0,9.26,1603112315,IR
Fort Nelson,58.81,-122.7,16.14,88,25,1.07,1603112316,CA
Ahipara,-35.17,173.17,55.94,90,39,7.56,1603112316,NZ
Bafoulabé,13.81,-10.83,102.54,16,4,11.12,1603112316,ML
Saint George,37.1,-113.58,39,46,0,1.01,1603112316,US
Maués,-3.38,-57.72,90.03,45,92,4.65,1603112317,BR
Aberdeen,57.14,-2.1,53.01,92,100,1.01,1603112317,GB
Sitka,57.05,-135.33,39.4,89,100,5.82,1603112317,US
Berlevåg,70.86,29.09,39.97,76,100,13.85,1603112317,NO
Carballo,43.21,-8.69,66.99,78,100,15.99,1603112317,ES
Ampanihy,-24.7,44.75,95.9,15,0,15.03,1603112317,MG
Baiyin,36.56,104.21,48.61,42,92,7.29,1603112318,CN
Wanxian,30.8,108.39,63.57,78,100,2.71,1603112318,CN
Imbituba,-28.24,-48.67,76.01,62,0,14.61,1603112318,BR
Achim,53.01,9.03,55.99,85,97,1.99,1603112318,DE
Carutapera,-1.2,-46.02,85.14,64,92,9.78,1603112319,BR
Udachny,66.42,112.4,15.71,95,100,9.71,1603112319,RU
Malbork,54.04,19.03,48.99,100,65,12.68,1603112319,PL
Livingston,55.9,-3.52,55,85,100,3,1603112032,GB
Jaru,-10.44,-62.47,84.87,59,100,6.17,1603112319,BR
Alice Springs,-23.7,133.88,72.72,39,50,11.74,1603112320,AU
Sarai Alamgir,32.9,73.76,79.3,17,0,2.04,1603112320,PK
Platonovka,52.71,41.95,47.43,59,98,11.03,1603112320,RU
Lazarev,52.23,141.51,32.58,80,0,13.42,1603112320,RU
Honningsvåg,70.98,25.97,41.07,74,100,13.13,1603112320,NO
Sola,-13.88,167.55,79.57,78,100,17.67,1603112321,VU
Olinda,-8.01,-34.86,80.46,68,95,12.03,1603112036,BR
Mangan,27.52,88.53,71.29,50,83,2.89,1603112321,IN
Fukuechō,32.69,128.84,68.81,71,79,22.86,1603112321,JP
Kingsland,30.8,-81.69,75,86,32,4,1603112321,US
Kavieng,-2.57,150.8,83.14,71,21,4.45,1603112322,PG
Lanzhou,36.06,103.79,52.11,38,100,10.11,1603112322,CN
Windsor,42.3,-83.02,44.01,87,100,4.63,1603112322,CA
Tiksi,71.69,128.87,17.42,94,100,21.14,1603112323,RU
Constantine,36.37,6.61,72.37,25,0,2.75,1603112323,DZ
Rafsanjān,30.41,55.99,70.86,13,0,8.37,1603112323,IR
Kimbe,-5.55,150.14,77.61,85,97,2.68,1603112323,PG
Saint-Pierre,-21.34,55.48,78.01,68,5,5.99,1603112323,RE
Camacha,33.08,-16.33,67.57,77,100,3.8,1603112324,PT
Itaituba,-4.28,-55.98,90.41,46,100,4.05,1603112324,BR
Aklavik,68.22,-135.01,11.89,84,70,6.93,1603112324,CA
Assaré,-6.87,-39.88,91.96,28,6,8.23,1603112325,BR
Houma,29.6,-90.72,70,96,19,5.46,1603112325,US
Sivaki,52.63,126.75,29.25,91,77,8.14,1603112325,RU
Orangeville,43.92,-80.1,42.01,77,100,2.06,1603112257,CA
Albion,42.24,-84.75,39,99,100,3,1603112386,US
Beringovskiy,63.05,179.32,35.98,83,48,9.51,1603112386,RU
Kemijärvi,66.71,27.43,30.72,96,100,8.63,1603112386,FI
Hasaki,35.73,140.83,55,98,100,12.33,1603112386,JP
Pompéu,-19.22,-44.94,63.91,94,100,7.49,1603112387,BR
Xai-Xai,-25.05,33.64,81.43,57,0,13.85,1603112387,MZ
Hailar,49.2,119.7,41.86,65,100,8.84,1603112387,CN
Winnemucca,40.97,-117.74,45,58,15,4.68,1603112387,US
Porto-Novo,6.5,2.6,85.33,67,88,9.78,1603112388,BJ
Pemangkat,1.17,108.97,81.86,74,100,3.42,1603112388,ID
Tarbagatay,51.48,107.36,33.73,88,100,7.81,1603112388,RU
Ucluelet,48.93,-125.55,54,89,6,3,1603112388,CA
Elizabeth City,36.29,-76.25,62.01,99,2,1.01,1603112389,US
Riyadh,24.69,46.72,89.26,11,0,13.73,1603112305,SA
Carbonia,39.17,8.52,69.01,63,79,1.01,1603112389,IT
Maceió,-9.67,-35.74,80.78,62,26,11.39,1603112312,BR
Baruun-Urt,46.68,113.28,45.64,45,99,14.05,1603112390,MN
Ostrovnoy,68.05,39.51,35.71,83,97,14.16,1603112390,RU
Ihosy,-22.4,46.12,86.72,30,0,9.89,1603112390,MG
Bitam,2.08,11.5,78.67,90,100,3.56,1603112390,GA
Dunedin,-45.87,170.5,46.99,82,28,4,1603112391,NZ
Bereda,43.27,-7.54,75,40,100,14,1603112391,ES
Padang,-0.95,100.35,80.26,75,16,2.28,1603112391,ID
Richards Bay,-28.78,32.04,83.43,57,0,13.18,1603112391,ZA
Mīnāb,27.15,57.08,88.43,13,0,6.04,1603112391,IR
Koeru,58.96,26.03,39.06,78,98,11.23,1603112392,EE
Isla Mujeres,21.23,-86.73,75,94,49,3,1603112392,MX
Umm Kaddadah,13.6,26.69,95.56,10,63,6.69,1603112392,SD
Narsaq,60.92,-46.05,40.3,80,15,2.57,1603112392,GL
Badulla,6.99,81.06,74.5,69,100,3,1603112392,LK
Hailin,44.58,129.42,43.52,65,92,2.19,1603112393,CN
Ixtapa,20.7,-105.2,79,87,79,1.97,1603112393,MX
Acapulco de Juárez,16.86,-99.89,78.76,72,16,3.13,1603112119,MX
Thompson,55.74,-97.86,19.08,98,35,4.92,1603112185,CA
Araioses,-2.89,-41.9,90.61,50,91,11.43,1603112394,BR
Chumikan,54.72,135.31,28.92,79,8,23.62,1603112394,RU
Mount Isa,-20.73,139.5,85.5,19,13,18.61,1603112394,AU
Lázaro Cárdenas,17.96,-102.2,76.71,82,100,5.1,1603112394,MX
Qaqortoq,60.72,-46.03,39.38,87,19,2.46,1603112395,GL
Orlik,52.52,99.83,21.96,83,100,4.21,1603112395,RU
Coquimbo,-29.95,-71.34,62.15,59,0,3.94,1603112272,CL
Baracoa,20.35,-74.5,79.97,85,100,7.29,1603112395,CU
Abhā,18.22,42.51,71.94,21,0,5.82,1603112396,SA
Nabire,-3.37,135.48,77.58,86,100,3.09,1603112106,ID
Abu Samrah,35.3,37.18,89.71,15,10,9.71,1603112396,SY
Kamsack,51.57,-101.9,16.45,96,19,5.53,1603112396,CA
Fuerte Olimpo,-21.04,-57.87,86.13,59,0,6.69,1603112457,PY
Matamoros,25.53,-103.25,63.64,43,0,1.7,1603112457,MX
Saint-Augustin,51.23,-58.65,47.79,70,100,7.18,1603112457,CA
Port Macquarie,-31.43,152.92,60.01,97,63,6.04,1603112251,AU
Bayan,46.08,127.4,44.19,69,0,3.8,1603112240,CN
Kyshtovka,56.55,76.63,38.61,70,100,15.77,1603112458,RU
Krasnyy Bogatyr',56.01,41.13,42.62,70,100,7.72,1603112458,RU
Purranque,-40.92,-73.17,47.75,91,13,3.44,1603112459,CL
Nanortalik,60.14,-45.24,38.82,88,9,7.47,1603112459,GL
Santarém,-2.44,-54.71,87.91,52,97,7.92,1603112460,BR
Chegdomyn,51.12,133.02,23.5,84,0,0.83,1603112460,RU
Illela,13.73,5.3,101.55,12,0,4.27,1603112461,NG
Safaga,26.73,33.94,89.08,41,0,8.52,1603112461,EG
Selfoss,63.93,-21,45,66,86,8.9,1603112461,IS
Mitsamiouli,-11.38,43.28,78.96,70,67,1.9,1603112462,KM
Moerai,-22.43,-151.33,75.99,84,0,13.38,1603112462,PF
Airai,-8.93,125.41,61.99,94,0,0.89,1603112463,TL
Cap Malheureux,-19.98,57.61,79,61,0,7,1603112463,MU
Kupang,-10.17,123.58,80.78,76,10,8.32,1603112271,ID
Lagoa,39.05,-27.98,63.39,71,100,30.51,1603112463,PT
Bowen,-20.02,148.23,73.36,75,21,7.11,1603112464,AU
Teotitlán,18.13,-97.08,65.28,78,18,1.32,1603112464,MX
Leona Vicario,20.97,-87.19,75,94,21,3,1603112465,MX
Namatanai,-3.67,152.43,80.69,74,5,3.22,1603112465,PG
Manokwari,-0.87,134.08,81.14,76,100,6.49,1603112202,ID
Pangody,65.85,74.49,22.91,97,71,6.8,1603112465,RU
Victoria Point,-27.58,153.3,70,67,46,1.99,1603112466,AU
Kargasok,59.06,80.86,32.13,98,100,15.26,1603112466,RU
Fredericton,45.95,-66.67,46.18,81,19,3.24,1603112263,CA
Grimshaw,56.18,-117.6,12.99,95,97,4.23,1603112466,CA
Rome,43.21,-75.46,55.99,81,100,3.78,1603112466,US
Ramotswa,-24.87,25.87,98.98,10,71,8.34,1603112467,BW
Novobiryusinskiy,56.96,97.71,29.37,91,99,9.78,1603112467,RU
Salalah,17.02,54.09,87.85,32,28,7.85,1603112467,OM
Juneau,58.3,-134.42,36,81,100,0.43,1603112468,US
Balaka,-14.98,34.96,94.03,17,4,5.26,1603112468,MW
Esim,4.87,-2.24,79.75,79,100,7.94,1603112468,GH
Yayva,59.33,57.26,41,98,99,3,1603112469,RU
Karratha,-20.74,116.85,70.57,84,0,16.24,1603112422,AU
Mackay,-21.15,149.2,66,91,0,6.49,1603112469,AU
Nanyuki,0.02,37.07,70.2,56,90,2.62,1603112469,KE
Bilibino,68.05,166.44,13.05,93,78,2.28,1603112469,RU
Arrondissement de Rennes,48.17,-1.67,62.01,61,88,1.99,1603112470,FR
Kathu,7.92,98.33,84.99,74,100,3.31,1603112470,TH
Arroyos y Esteros,-25.07,-57.1,87.31,49,0,7.18,1603112470,PY
Mossamedes,-15.2,12.15,73.29,68,23,10.76,1603112470,AO
Marrakesh,31.63,-8.01,86.49,14,100,5.35,1603112471,MA
Giyani,-23.3,30.72,100.06,15,0,9.42,1603112471,ZA
Makokou,0.57,12.86,82.92,70,12,3.18,1603112471,GA
Nanaimo,49.17,-123.94,50,100,84,1.99,1603112338,CA
Cabedelo,-6.98,-34.83,80.33,69,100,14.09,1603112532,BR
Channel-Port aux Basques,47.57,-59.14,51.58,83,100,8.52,1603112532,CA
The Valley,18.22,-63.06,84.99,68,100,3,1603112532,AI
Qixingtai,30.41,111.89,60.01,63,1,0.89,1603112533,CN
Montepuez,-13.13,39,91.02,24,52,5.37,1603112533,MZ
Dalbandin,28.89,64.41,68.23,17,0,4.47,1603112321,PK
Lorengau,-2.02,147.27,81,74,93,2.53,1603112533,PG
Sechura,-5.56,-80.82,66,76,66,9.86,1603112534,PE
Bariloche,-41.15,-71.31,41.14,66,33,12.33,1603112532,AR
Sandy Bay,-42.91,147.35,48.99,87,91,2.37,1603112534,AU
Yurimaguas,-5.9,-76.08,84.6,55,0,2.51,1603112534,PE
Rincon,32.3,-81.24,62.01,98,0,7.65,1603112430,US
Flin Flon,54.77,-101.86,19.29,97,0,4.36,1603112535,CA
Tigil',57.8,158.67,34.99,88,100,11.48,1603112535,RU
Blagoyevo,63.37,47.92,32.94,96,100,4.97,1603112535,RU
Kyren,51.68,102.14,27.57,94,100,3.8,1603112535,RU
Ivanteyevka,55.97,37.92,45,34,99,9.89,1603112536,RU
Avera,33.19,-82.53,57.99,93,0,1.01,1603112536,US
La Rioja,42.25,-2.5,73,37,100,13.33,1603112536,ES
Praia da Vitória,38.73,-27.07,64.99,75,100,11.99,1603112536,PT
Altay,47.87,88.12,32.74,79,10,4.7,1603112537,CN
Kosjerić,44.0,19.91,56.23,44,0,4.97,1603112537,RS
Shubarshi,48.59,57.19,63.79,27,0,7.54,1603112537,KZ
Itoman,26.12,127.67,78.44,83,48,21.59,1603112537,JP
Visnes,59.36,5.22,46.99,73,100,10,1603112538,NO
Port Lincoln,-34.73,135.87,56.01,82,0,14.18,1603112538,AU
Zhoucheng,35.91,116.31,58.77,36,0,4.99,1603112538,CN
Zachary,30.65,-91.16,71.01,99,60,5.28,1603112539,US
North Bend,43.41,-124.22,57.99,85,60,5.1,1603112288,US
Myanaung,18.28,95.32,75.47,93,51,5.5,1603112539,MM
Ruteng,-8.61,120.47,65.75,100,100,1.74,1603112539,ID
Bambanglipuro,-7.95,110.28,76.84,88,100,7.56,1603112539,ID
Novoagansk,61.94,76.66,31.8,99,100,11.5,1603112540,RU
Vazante,-17.99,-46.91,69.76,83,100,11.74,1603112540,BR
Selaphum,16.03,103.94,68.09,95,100,5.91,1603112540,TH
